participant_id,TRIAL_INDEX,image_id,voice_id,aoi_type,CURRENT_FIX_X,CURRENT_FIX_Y,distance_from_center,CURRENT_FIX_START,CURRENT_FIX_DURATION,CURRENT_FIX_INTEREST_AREA_LABEL
edf04,23,IMG_01,PWA,object,795.7,485.2,145.92580306443404,5786,144,o_lamp_girl_light_lamp
edf04,24,IMG_14,PWA,subject,761.6,170.9,373.6806122880875,6746,834,s_driver_driver_wash_scooter
edf04,25,IMG_05,PNA,subject,906.5,263.8,237.42000758150098,5820,642,s_man_man_pushed_box
edf04,26,IMG_03,PNA,object,716.5,718.0,313.8355301746442,5980,250,o_tree_girl_plant_tree
edf04,27,IMG_04,PNA,object,764.5,426.6,190.65849050068553,6774,224,o_shrub_man_cut_shrub
edf04,28,IMG_13,ACT,subject,903.7,611.3,118.61724157979728,6936,474,s_dog_dog_dug_hole
edf04,29,IMG_12,ACT,subject,1109.0,351.8,223.16722429604218,5728,464,s_child_child_throw_frisbee
edf04,30,IMG_11,ACT,object,770.2,584.5,191.13942555108818,5792,114,o_tabla_child_play_tabla
edf04,31,IMG_07,PWA,object,1054.6,493.8,113.70562870852075,5652,222,o_picture_artiste_drew_picture
edf04,32,IMG_15,PWA,subject,902.8,383.3,121.55821650550817,6456,494,s_girl_girl_baked_cake
edf04,33,IMG_02,PWA,object,1188.9,488.9,248.093631518425,6324,512,o_window_girl_opened_window
edf04,34,IMG_16,PNA,object,969.4,660.2,163.9780778031015,5706,188,o_dog_girl_fed_dog
edf04,35,IMG_18,PNA,object,906.0,792.6,295.9767051644437,5500,344,o_veg_boy_cut_vegetables
edf04,36,IMG_08,PNA,object,909.4,362.0,140.30484667323506,6222,176,o_vase_boy_broke_vase
edf05,19,IMG_17,PWA,object,1098.5,586.0,180.07648375065523,6846,158,o_letter_woman_read_letter
edf05,20,IMG_09,PWA,subject,1030.2,354.1,169.8993819882815,6542,218,s_boy_boy_filled_bucket
edf05,21,IMG_06,PWA,object,880.2,665.7,177.7234931009404,6062,250,o_clothes_woman_folded_clothes
edf05,22,IMG_10,PNA,subject,882.4,375.3,136.60717404294695,6340,890,s_boy_boy_opened_door
edf05,23,IMG_01,PNA,object,812.4,495.9,128.63047850334698,6044,202,o_lamp_girl_light_lamp
edf05,24,IMG_14,PNA,subject,743.7,300.3,279.80323443448606,5866,264,s_driver_driver_wash_scooter
edf05,25,IMG_05,ACT,subject,918.6,294.6,205.3255220375684,5730,132,s_man_man_pushed_box
edf05,26,IMG_03,ACT,subject,808.8,347.9,200.5429629780113,7152,664,.
edf05,27,IMG_04,ACT,object,801.6,420.0,160.08138555122514,5840,214,o_shrub_man_cut_shrub
edf05,28,IMG_13,PWA,subject,1006.0,693.9,205.7377942916663,6818,536,.
edf05,29,IMG_12,PWA,subject,1097.9,279.4,269.64810401706893,6006,342,s_child_child_throw_frisbee
edf05,30,IMG_11,PWA,subject,974.2,294.0,207.37485382755548,5716,636,s_child_child_play_tabla
edf05,31,IMG_07,PNA,object,1054.1,450.7,122.86419331929046,5924,202,o_picture_artiste_drew_picture
edf05,32,IMG_15,PNA,subject,891.4,319.2,186.22677036344695,5970,1302,s_girl_girl_baked_cake
edf05,33,IMG_02,PNA,subject,889.6,375.6,133.40003748125406,5770,192,s_girl_girl_opened_window
edf05,34,IMG_16,ACT,object,956.6,605.2,107.63647151407376,5774,184,o_dog_girl_fed_dog
edf05,35,IMG_18,ACT,object,878.7,811.1,318.5514872041881,6190,252,o_veg_boy_cut_vegetables
edf05,36,IMG_08,ACT,object,869.1,341.3,173.04441626357087,7138,222,o_vase_boy_broke_vase
edf06,19,IMG_17,PNA,subject,1042.2,547.3,112.2648653853912,6230,118,s_woman_woman_read_letter
edf06,20,IMG_09,PNA,object,931.4,612.0,113.70598049355189,6176,256,o_bucket_boy_filled_bucket
edf06,21,IMG_06,PNA,object,950.0,658.6,160.15308301746805,6454,208,o_clothes_woman_folded_clothes
edf06,22,IMG_10,ACT,object,1041.5,478.4,102.52970301332195,6534,178,o_door_boy_opened_door
edf06,23,IMG_01,ACT,subject,1051.8,478.9,112.555230886885,5872,150,s_girl_girl_lit_lamp
edf06,24,IMG_14,ACT,subject,767.8,496.0,173.22104375623655,5488,6,s_driver_driver_wash_scooter
edf06,25,IMG_05,PWA,subject,771.0,528.7,172.6267650163207,5858,312,s_man_man_pushed_box
edf06,26,IMG_03,PWA,subject,1089.8,464.5,152.67966465774015,6406,184,s_girl_girl_plant_tree
edf06,27,IMG_04,PWA,subject,969.9,233.8,266.47179963365727,6534,340,s_man_man_cut_shrub
edf06,28,IMG_13,PNA,object,1074.0,734.7,270.89665926326967,6742,290,o_hole_dog_dug_hole
edf06,29,IMG_12,PNA,subject,908.4,381.6,121.55315709598001,6108,130,.
edf06,30,IMG_11,PNA,object,781.6,629.3,206.06969694741628,5928,286,o_tabla_child_play_tabla
edf06,31,IMG_07,ACT,subject,701.8,386.5,264.2072671218565,5740,216,s_artiste_artiste_drew_picture
edf06,32,IMG_15,ACT,subject,884.5,376.6,134.5386933190597,6124,256,s_girl_girl_baked_cake
edf06,33,IMG_02,ACT,subject,865.7,384.9,136.45706284395834,6338,384,s_girl_girl_opened_window
edf06,34,IMG_16,PWA,object,978.3,620.0,126.90539783634107,6088,144,o_dog_girl_fed_dog
edf06,35,IMG_18,PWA,object,981.3,829.1,332.8486893469764,6286,302,o_veg_boy_cut_vegetables
edf06,36,IMG_08,PWA,subject,709.1,334.6,284.08875373727835,7114,666,s_boy_boy_broke_vase
edf07,19,IMG_17,ACT,subject,986.8,390.7,117.31001662262263,6162,912,s_woman_woman_read_letter
edf07,20,IMG_09,ACT,subject,959.9,208.3,291.01438108794554,5949,395,s_boy_boy_filled_bucket
edf07,21,IMG_06,ACT,subject,1002.8,292.0,215.7408862501496,5307,4081,s_woman_woman_folded_clothes
edf07,22,IMG_10,PWA,subject,912.4,336.3,164.899120676855,6222,1928,.
