image_id,object,other,subject
IMG_01,37,3,9
IMG_02,25,2,22
IMG_03,37,6,6
IMG_04,45,0,4
IMG_05,27,4,18
IMG_06,31,4,14
IMG_07,30,1,18
IMG_08,16,2,31
IMG_09,14,2,30
IMG_10,12,1,35
IMG_11,37,7,5
IMG_12,10,9,30
IMG_13,13,13,23
IMG_14,24,1,24
IMG_15,14,11,23
IMG_16,32,4,13
IMG_17,15,4,28
IMG_18,40,4,5
