image_id,object,other,subject
IMG_01,75.51020408163265,6.122448979591836,18.367346938775512
IMG_02,51.02040816326531,4.081632653061225,44.89795918367347
IMG_03,75.51020408163265,12.244897959183673,12.244897959183673
IMG_04,91.83673469387756,0.0,8.16326530612245
IMG_05,55.10204081632652,8.16326530612245,36.734693877551024
IMG_06,63.26530612244898,8.16326530612245,28.57142857142857
IMG_07,61.224489795918366,2.0408163265306123,36.734693877551024
IMG_08,32.6530612244898,4.081632653061225,63.26530612244898
IMG_09,30.434782608695656,4.3478260869565215,65.21739130434783
IMG_10,25.0,2.083333333333333,72.91666666666666
IMG_11,75.51020408163265,14.285714285714285,10.204081632653061
IMG_12,20.408163265306122,18.367346938775512,61.224489795918366
IMG_13,26.53061224489796,26.53061224489796,46.93877551020408
IMG_14,48.97959183673469,2.0408163265306123,48.97959183673469
IMG_15,29.166666666666668,22.916666666666664,47.91666666666667
IMG_16,65.3061224489796,8.16326530612245,26.53061224489796
IMG_17,31.914893617021278,8.51063829787234,59.57446808510638
IMG_18,81.63265306122449,8.16326530612245,10.204081632653061
