participant_id,data_file,TRIAL_INDEX,TRIAL_LABEL,TRIAL_START_TIME,CURRENT_SAC_DURATION,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_INDEX,CURRENT_SAC_START_TIME,CURRENT_SAC_END_TIME,CURRENT_SAC_DIRECTION,CURRENT_SAC_ANGLE,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,CURRENT_SAC_START_INTEREST_AREA_LABEL,CURRENT_SAC_END_INTEREST_AREA_LABEL,CURRENT_SAC_START_INTEREST_AREA_ID,CURRENT_SAC_END_INTEREST_AREA_ID,sentence,voice_id,image_id,stim_id,image,stimulus_file,session_var,exp_id,language,audio,aoi_type_start,aoi_type_end,saccade_transition,trial_id,time_from_trial_start,sentence_clean,merge_key,total_trial_duration,trial_duration,total_fixations_subject_object
edf07,saccade_edf07_2025_04_11_17_09.xls,29,Trial: 29,1417262,96,15.69,174.48,453.09,13,7704,7798,UP,47.43,445.3,849.1,1050.4,189.7,.,.,,,exp_images/sentences/active_child_frisbee.jpg,ACT,IMG_12,STIM_66,exp_images/images/child_throw_frisbee.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_12_E_ACT,ENGLISH,exp_images/audio\ENGLISH\frisbee.wav,other,other,other,edf07_29,-1409558,exp_images/sentences/active_child_frisbee.jpg,edf07|29|exp_images/sentences/active_child_frisbee.jpg,7607.0,5356.0,7.0
edf07,saccade_edf07_2025_04_11_17_09.xls,29,Trial: 29,1417262,460,13.83,193.59,331.42,21,9864,10322,UP,62.8,561.2,603.1,919.9,-95.4,.,.,,,exp_images/sentences/active_child_frisbee.jpg,ACT,IMG_12,STIM_66,exp_images/images/child_throw_frisbee.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_12_E_ACT,ENGLISH,exp_images/audio\ENGLISH\frisbee.wav,other,other,other,edf07_29,-1407398,exp_images/sentences/active_child_frisbee.jpg,edf07|29|exp_images/sentences/active_child_frisbee.jpg,7607.0,5356.0,7.0
edf07,saccade_edf07_2025_04_11_17_09.xls,30,Trial: 30,1431746,362,18.09,186.0,419.43,2,7134,7494,UP,77.51,375.4,1131.1,600.9,108.4,.,.,,,exp_images/sentences/active_child_tabla.jpg,ACT,IMG_11,STIM_65,exp_images/images/child_play_tabla.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_11_E_ACT,ENGLISH,exp_images/audio\ENGLISH\tabla.wav,other,other,other,edf07_30,-1424612,exp_images/sentences/active_child_tabla.jpg,edf07|30|exp_images/sentences/active_child_tabla.jpg,7045.0,5350.0,5.0
edf07,saccade_edf07_2025_04_11_17_09.xls,30,Trial: 30,1431746,1884,12.99,137.57,714.79,5,8814,10696,RIGHT,17.8,-279.1,331.5,461.5,101.1,.,.,,,exp_images/sentences/active_child_tabla.jpg,ACT,IMG_11,STIM_65,exp_images/images/child_play_tabla.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_11_E_ACT,ENGLISH,exp_images/audio\ENGLISH\tabla.wav,other,other,other,edf07_30,-1422932,exp_images/sentences/active_child_tabla.jpg,edf07|30|exp_images/sentences/active_child_tabla.jpg,7045.0,5350.0,5.0
edf07,saccade_edf07_2025_04_11_17_09.xls,31,Trial: 31,1446522,112,16.28,164.6,407.01,6,7660,7770,UP,66.69,244.3,1017.8,615.5,153.5,.,.,,,exp_images/sentences/passive_artist_picture.jpg,PWA,IMG_07,STIM_79,exp_images/images/artiste_drew_picture.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_07_E_PWA,ENGLISH,exp_images/audio\ENGLISH\p_artist.wav,other,other,other,edf07_31,-1438862,exp_images/sentences/passive_artist_picture.jpg,edf07|31|exp_images/sentences/passive_artist_picture.jpg,8866.0,5423.0,17.0
edf07,saccade_edf07_2025_04_11_17_09.xls,32,Trial: 32,1461006,3486,28.51,444.1,993.81,1,3746,7230,UP,108.48,60.2,1308.8,-522.2,-401.3,.,.,,,exp_images/sentences/passive_girl_cake.jpg,PWA,IMG_15,STIM_87,exp_images/images/girl_baked_cake.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_15_E_PWA,ENGLISH,exp_images/audio\ENGLISH\p_cake.wav,other,other,other,edf07_32,-1457260,exp_images/sentences/passive_girl_cake.jpg,edf07|32|exp_images/sentences/passive_girl_cake.jpg,8103.0,5542.0,9.0
edf07,saccade_edf07_2025_04_11_17_09.xls,32,Trial: 32,1461006,108,20.64,193.35,272.35,2,7314,7420,RIGHT,-35.51,-344.7,-364.0,676.0,348.2,.,.,,,exp_images/sentences/passive_girl_cake.jpg,PWA,IMG_15,STIM_87,exp_images/images/girl_baked_cake.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_15_E_PWA,ENGLISH,exp_images/audio\ENGLISH\p_cake.wav,other,other,other,edf07_32,-1453692,exp_images/sentences/passive_girl_cake.jpg,edf07|32|exp_images/sentences/passive_girl_cake.jpg,8103.0,5542.0,9.0
edf07,saccade_edf07_2025_04_11_17_09.xls,33,Trial: 33,1476096,242,13.09,140.46,685.43,4,7282,7522,UP,67.16,496.2,1300.5,795.1,576.5,.,s_girl_girl_opened_window,,2.0,exp_images/sentences/passive_girl_window.jpg,PWA,IMG_02,STIM_74,exp_images/images/girl_opened_window.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_02_E_PWA,ENGLISH,exp_images/audio\ENGLISH\p_window.wav,other,subject,other,edf07_33,-1468814,exp_images/sentences/passive_girl_window.jpg,edf07|33|exp_images/sentences/passive_girl_window.jpg,6536.0,4993.0,9.0
edf07,saccade_edf07_2025_04_11_17_09.xls,34,Trial: 34,1491044,264,14.47,260.22,1638.75,7,8852,9114,UP,90.19,848.2,1237.4,845.4,378.8,.,s_girl_girl_fed_dog,,2.0,exp_images/sentences/noagent_girl_dog.jpg,PNA,IMG_16,STIM_106,exp_images/images/girl_fed_dog.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_16_E_PNA,ENGLISH,exp_images/audio\ENGLISH\p_woa_fed.wav,other,subject,other,edf07_34,-1482192,exp_images/sentences/noagent_girl_dog.jpg,edf07|34|exp_images/sentences/noagent_girl_dog.jpg,8144.0,5224.0,7.0
edf07,saccade_edf07_2025_04_11_17_21.xls,26,Trial: 26,2177886,386,17.23,580.25,2536.34,12,10638,11022,UP,103.36,548.9,493.1,316.3,-476.0,o_tree_girl_plant_tree,.,2.0,,exp_images/sentences/Sapling-woa.jpg,PNA,IMG_03,STIM_39,exp_images/images/girl_plant_tree.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_03_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_sapling.wav,object,other,other,edf07_26,-2167248,exp_images/sentences/Sapling-woa.jpg,edf07|26|exp_images/sentences/Sapling-woa.jpg,8309.0,5069.0,11.0
edf07,saccade_edf07_2025_04_11_17_21.xls,29,Trial: 29,2221282,282,24.05,279.67,2312.26,2,6788,7068,UP,116.79,1130.9,245.9,498.8,-1041.2,s_child_child_throw_frisbee,.,2.0,,exp_images/sentences/active_child_frisbee.jpg,ACT,IMG_12,STIM_66,exp_images/images/child_throw_frisbee.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_12_E_ACT,ENGLISH,exp_images/audio\ENGLISH\frisbee.wav,subject,other,other,edf07_29,-2214494,exp_images/sentences/active_child_frisbee.jpg,edf07|29|exp_images/sentences/active_child_frisbee.jpg,7607.0,5356.0,7.0
edf07,saccade_edf07_2025_04_11_17_21.xls,29,Trial: 29,2221282,130,19.58,153.6,255.39,3,7106,7234,DOWN,-70.97,511.1,-1002.6,882.9,103.3,.,.,,,exp_images/sentences/active_child_frisbee.jpg,ACT,IMG_12,STIM_66,exp_images/images/child_throw_frisbee.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_12_E_ACT,ENGLISH,exp_images/audio\ENGLISH\frisbee.wav,other,other,other,edf07_29,-2214176,exp_images/sentences/active_child_frisbee.jpg,edf07|29|exp_images/sentences/active_child_frisbee.jpg,7607.0,5356.0,7.0
edf09,saccade_edf09_2025_04_15_13_10.xls,3,Trial: 4,943538,102,36.35,376.17,670.39,15,5994,6094,RIGHT,-26.99,815.8,366.8,3191.6,1470.4,s_man_man_pushed_box,.,3.0,,UNDEFINED,UNDEFINED,IMG_05,UNDEFINED,exp_images/images/man_pushed_box.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,other,other,edf09_3,-937544,UNDEFINED,edf09|3|UNDEFINED,,,
edf09,saccade_edf09_2025_04_15_13_10.xls,14,Trial: 15,1050458,324,21.79,1067.39,1907.37,16,5372,5694,RIGHT,14.29,1338.5,775.5,2676.2,448.3,o_hole_dog_dug_hole,.,3.0,,UNDEFINED,UNDEFINED,IMG_13,UNDEFINED,exp_images/images/dog_dug_hole.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,other,other,edf09_14,-1045086,UNDEFINED,edf09|14|UNDEFINED,,,
