voice_type,aoi_type,total_fixations,total_duration,mean_duration,pct_fixations,pct_duration
Active,object,1906,656702,344.5445960125918,45.467557251908396,46.88009525903547
Active,other,598,142335,238.01839464882943,14.26526717557252,10.160892396695631
Active,subject,1688,601775,356.5017772511848,40.267175572519086,42.95901234426889
Passive,object,3800,1374606,361.73842105263157,47.75069112842423,49.19950049088332
Passive,other,1057,292891,277.0964995269631,13.282231716511687,10.48306998389015
Passive,subject,3101,1126446,363.25249919380843,38.96707715506409,40.31742952522654
Unknown,object,7140,2380391,333.3880952380952,46.90887589514487,47.28505223345444
Unknown,other,1993,523627,262.7330657300552,13.093752053084554,10.401539094143377
Unknown,subject,6088,2130112,349.88699080157687,39.99737205177058,42.31340867240218
