voice_type,aoi_type,n,mean_duration,median_duration,sd_duration,min_duration,max_duration
Active,object,1906,344.5445960125918,246.0,349.16081074976404,16,4740
Active,other,598,238.01839464882943,191.0,214.76039704000826,3,2554
Active,subject,1688,356.5017772511848,250.5,338.6224875726712,2,4081
Passive,object,3800,361.73842105263157,254.0,382.6345704816092,5,4992
Passive,other,1057,277.0964995269631,210.0,305.3610322179383,2,3595
Passive,subject,3101,363.25249919380843,252.0,348.525819515215,9,4695
Unknown,object,7140,333.3880952380952,246.0,323.519397586397,8,4993
Unknown,other,1993,262.7330657300552,218.0,254.36920561764248,19,3272
Unknown,subject,6088,349.88699080157687,240.0,351.51591689528556,3,4670
