voice_id,aoi_type,n,mean_dwell_time,median_dwell_time,sd_dwell_time
ACT,object,324,2026.858024691358,1958.0,1204.2309384645534
ACT,subject,324,1857.3302469135801,1776.0,1112.648481291958
PNA,object,324,2148.41975308642,2096.5,1233.0655911404017
PNA,subject,324,1691.3703703703704,1484.5,1092.1202651478507
PWA,object,324,2094.1913580246915,2044.5,1180.5325477917472
PWA,subject,324,1785.3148148148148,1701.0,1055.0899480222588
UNDEFINED,object,1140,2088.0622807017544,2008.5,1086.3030266239666
UNDEFINED,subject,1140,1868.519298245614,1775.5,1006.9011042263382
