voice_type,aoi_type,n_participants,mean_across_participants,sd_across_participants
Active,object,49,357.7918716378988,119.65334554525027
Active,other,49,254.0010095786885,86.82067847485615
Active,subject,49,366.68395922835214,109.58573301714486
Passive,object,49,377.02082916925116,96.16096799589602
Passive,other,49,275.2089170317637,92.32482228654331
Passive,subject,49,380.231217059572,105.43491982851369
Unknown,object,49,344.1960555620185,86.27484634179984
Unknown,other,49,265.62861071728094,71.92599943562499
Unknown,subject,49,361.4272644117303,97.46324093391948
