voice_type,n,mean_amplitude,mean_duration,mean_velocity
Active,3958,3.0066195048004043,52.16544766708701,113.94798486759143
Passive,7464,3.0028362808145763,54.12199036918138,115.93300160513644
Unknown,12302,3.036587546740367,45.0921052631579,106.62100633528266
