aoi_type,free_viewing_mean,voice_mean,difference,percent_change,mannwhitney_u,p_value,cohens_d,n_free_viewing,n_voice
subject,349.88699080157687,360.8730423888077,10.986051587230804,3.139885699111649,14081321.0,0.002262419046507118,0.03154223108081887,6088,4789
object,333.3880952380952,355.9950928846828,22.60699764658756,6.78098527496681,19791916.5,0.005605025259180983,0.064865428149659,7140,5706
other,262.7330657300552,262.9764350453172,0.24336931526198669,0.09262987686218233,1734337.5,0.007187079073953758,0.0009158142871561673,1993,1655
