participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,mean_saccade_amplitude,saccade_count,mean_saccade_velocity,mean_saccade_duration,saccade_rate
edf01,1,,free_viewing,,6020,3.376666666666667,12,91.26499999999999,34.0,1.993355481727575
edf01,10,,free_viewing,,6125,2.782142857142857,14,82.73357142857142,29.857142857142858,2.2857142857142856
edf01,11,,free_viewing,,6095,2.7935714285714286,14,90.23285714285716,37.0,2.2969647251845777
edf01,12,,free_viewing,,6045,3.357272727272728,11,89.06181818181818,30.545454545454547,1.8196856906534327
edf01,13,,free_viewing,,5812,2.8453846153846163,13,89.03615384615385,36.92307692307692,2.236751548520303
edf01,14,,free_viewing,,5757,2.0691666666666664,12,69.58166666666666,27.333333333333332,2.084418968212611
edf01,15,,free_viewing,,5710,2.631111111111111,9,81.63555555555556,30.88888888888889,1.5761821366024518
edf01,16,,free_viewing,,6040,3.031428571428571,14,81.04428571428572,32.714285714285715,2.3178807947019866
edf01,17,,free_viewing,,6136,2.7572727272727273,11,79.91,29.09090909090909,1.7926988265971318
edf01,18,,free_viewing,,5757,2.2763636363636364,11,87.36636363636363,39.45454545454545,1.9107173875282266
edf01,19,Punjabi,sentence_audio,active,10523,2.8760000000000003,5,85.38199999999999,32.0,0.4751496721467262
edf01,2,,free_viewing,,5833,2.367,10,75.407,28.8,1.7143836790673752
edf01,20,Punjabi,sentence_audio,active,11049,1.88625,8,88.41874999999999,33.25,0.7240474251063445
edf01,21,Punjabi,sentence_audio,active,10744,2.795,8,135.28625,47.25,0.7446016381236039
edf01,22,Punjabi,sentence_audio,passive,10317,1.9366666666666665,9,180.08444444444444,86.22222222222223,0.8723466123873219
edf01,23,Punjabi,sentence_audio,passive,10772,3.9250000000000003,4,94.45750000000001,40.0,0.37133308577794283
edf01,24,Punjabi,sentence_audio,passive,10554,3.5510000000000006,10,131.74400000000003,54.0,0.9475080538184575
edf01,25,Punjabi,sentence_audio,passive_dropped_agent,10864,2.6612499999999994,8,100.185,41.75,0.7363770250368188
edf01,26,Punjabi,sentence_audio,passive_dropped_agent,10411,3.6142857142857143,7,110.32428571428571,46.285714285714285,0.6723657669772356
