participant_id,trial_id,TRIAL_INDEX,saccade_transition,sentence,voice_id,mean_amplitude,mean_duration,n_transitions
P45,P45_24,24,subject_to_subject,exp_images/sentences/active_artist_picture.jpg,ACT,1.1,21.0,2
P45,P45_25,25,object_to_object,exp_images/sentences/passive_girl_sapling.jpg,PWA,2.4366666666666665,30.666666666666668,6
P45,P45_25,25,subject_to_subject,exp_images/sentences/passive_girl_sapling.jpg,PWA,1.96,22.0,3
P45,P45_26,26,object_to_object,exp_images/sentences/passive_child_frisbee.jpg,PWA,0.75,60.0,3
P45,P45_26,26,object_to_subject,exp_images/sentences/passive_child_frisbee.jpg,PWA,5.19,46.0,1
P45,P45_26,26,subject_to_object,exp_images/sentences/passive_child_frisbee.jpg,PWA,6.205,42.0,2
P45,P45_26,26,subject_to_subject,exp_images/sentences/passive_child_frisbee.jpg,PWA,2.67,47.75,8
P45,P45_27,27,object_to_object,exp_images/sentences/passive_boy_vase.jpg,PWA,1.2550000000000001,23.0,8
P45,P45_27,27,object_to_subject,exp_images/sentences/passive_boy_vase.jpg,PWA,4.0200000000000005,41.0,2
P45,P45_27,27,subject_to_object,exp_images/sentences/passive_boy_vase.jpg,PWA,3.95,40.0,1
P45,P45_28,28,object_to_object,exp_images/sentences/noagent_man_box.jpg,PNA,1.08,58.5,4
P45,P45_28,28,object_to_subject,exp_images/sentences/noagent_man_box.jpg,PNA,5.09,45.0,2
P45,P45_28,28,subject_to_object,exp_images/sentences/noagent_man_box.jpg,PNA,4.596666666666667,41.333333333333336,3
P45,P45_28,28,subject_to_subject,exp_images/sentences/noagent_man_box.jpg,PNA,3.5760000000000005,38.8,5
P45,P45_29,29,object_to_object,exp_images/sentences/noagent_man_shrub.jpg,PNA,3.025,50.75,8
P45,P45_29,29,object_to_subject,exp_images/sentences/noagent_man_shrub.jpg,PNA,3.0300000000000002,36.0,2
P45,P45_29,29,subject_to_object,exp_images/sentences/noagent_man_shrub.jpg,PNA,4.07,40.0,3
P45,P45_29,29,subject_to_subject,exp_images/sentences/noagent_man_shrub.jpg,PNA,4.05,42.0,1
P45,P45_3,3,object_to_object,UNDEFINED,UNDEFINED,2.776666666666667,30.666666666666668,3
P45,P45_3,3,object_to_subject,UNDEFINED,UNDEFINED,6.14,46.0,1
P45,P45_3,3,subject_to_object,UNDEFINED,UNDEFINED,3.67,35.0,2
P45,P45_3,3,subject_to_subject,UNDEFINED,UNDEFINED,3.0157142857142856,32.57142857142857,7
P45,P45_30,30,object_to_object,exp_images/sentences/noagent_girl_window.jpg,PNA,2.60375,48.0,8
P45,P45_30,30,object_to_subject,exp_images/sentences/noagent_girl_window.jpg,PNA,5.365,46.0,2
