participant_id,trial_id,language,session_type,sentence_type,fixation_trial_length_ms,fixation_total_fixation_duration,fixation_mean_fixation_duration,fixation_fixation_count,fixation_mean_fixation_x,fixation_mean_fixation_y,interest_area_trial_length_ms,interest_area_total_interest_area_dwell_time,interest_area_total_interest_area_entry_count,interest_area_min_time_to_first_fixation,interest_area_interest_area_dwell_time_normalized,saccade_trial_length_ms,saccade_mean_saccade_amplitude,saccade_saccade_count,saccade_mean_saccade_velocity,saccade_mean_saccade_duration,saccade_saccade_rate
edf01,1,,free_viewing,,6020.0,4282.0,356.8333333333333,12.0,851.5999999999999,566.4499999999999,4582.0,4582,6,1030.0,1.0,6020.0,3.376666666666667,12.0,91.26499999999999,34.0,1.993355481727575
edf01,10,,free_viewing,,6125.0,4327.0,309.07142857142856,14.0,910.9285714285713,593.9785714285715,4575.0,4575,5,1132.0,1.0,6125.0,2.782142857142857,14.0,82.73357142857142,29.857142857142858,2.2857142857142856
edf01,11,,free_viewing,,6095.0,4223.0,301.64285714285717,14.0,804.3214285714284,666.6999999999999,4475.0,3817,5,1102.0,0.8529608938547486,6095.0,2.7935714285714286,14.0,90.23285714285716,37.0,2.2969647251845777
edf01,12,,free_viewing,,6045.0,4475.0,406.8181818181818,11.0,881.318181818182,680.8818181818183,4657.0,3236,4,1052.0,0.6948679407343784,6045.0,3.357272727272728,11.0,89.06181818181818,30.545454545454547,1.8196856906534327
edf01,13,,free_viewing,,5812.0,4276.0,328.9230769230769,13.0,895.176923076923,694.7384615384615,4512.0,2722,4,820.0,0.6032801418439716,5812.0,2.8453846153846163,13.0,89.03615384615385,36.92307692307692,2.236751548520303
edf01,14,,free_viewing,,5757.0,4649.0,387.4166666666667,12.0,932.2416666666667,534.5666666666666,4665.0,4229,3,764.0,0.9065380493033226,5757.0,2.0691666666666664,12.0,69.58166666666666,27.333333333333332,2.084418968212611
edf01,15,,free_viewing,,5710.0,4446.0,494.0,9.0,1001.8666666666668,850.4666666666667,4714.0,4714,2,718.0,1.0,5710.0,2.631111111111111,9.0,81.63555555555556,30.88888888888889,1.5761821366024518
edf01,16,,free_viewing,,6040.0,4310.0,307.85714285714283,14.0,952.4642857142856,363.8571428571428,4534.0,4344,4,1048.0,0.9580943978826643,6040.0,3.031428571428571,14.0,81.04428571428572,32.714285714285715,2.3178807947019866
edf01,17,,free_viewing,,6136.0,4424.0,402.1818181818182,11.0,883.0454545454545,427.90000000000003,4673.0,4673,5,1143.0,1.0,6136.0,2.7572727272727273,11.0,79.91,29.09090909090909,1.7926988265971318
edf01,18,,free_viewing,,5757.0,4285.0,389.54545454545456,11.0,1017.8181818181816,550.5363636363637,4559.0,4317,5,764.0,0.9469181838122396,5757.0,2.2763636363636364,11.0,87.36636363636363,39.45454545454545,1.9107173875282266
