participant_id,data_file,TRIAL_INDEX,TRIAL_LABEL,TRIAL_START_TIME,IA_LABEL,IA_DWELL_TIME,IA_FIXATION_COUNT,IA_FIRST_FIXATION_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_INDEX,IA_AREA,IA_LEFT,IA_RIGHT,IA_TOP,IA_BOTTOM,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,TRIAL_IA_COUNT,sentence,voice_id,image_id,stim_id,image,stimulus_file,session_var,exp_id,language,audio,aoi_type,trial_id,sentence_clean
edf01,interest_area_edf01_2025_04_08_13_47.xls,8,Trial: 8,2383642,s_girl_girl_opened_window,1990,6,2482.0,408.0,6.0,177285.0,683.0,948.0,255.0,924.0,4574.0,15,2,UNDEFINED,UNDEFINED,IMG_02,UNDEFINED,exp_images/images/girl_opened_window.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_8,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,8,Trial: 8,2383642,o_window_girl_opened_window,2314,8,1252.0,246.0,2.0,196425.0,1003.0,1294.0,221.0,896.0,4574.0,15,2,UNDEFINED,UNDEFINED,IMG_02,UNDEFINED,exp_images/images/girl_opened_window.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_8,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,9,Trial: 9,2393394,s_child_child_play_tabla,912,2,2684.0,148.0,6.0,104496.0,839.0,1175.0,129.0,440.0,4698.0,11,2,UNDEFINED,UNDEFINED,IMG_11,UNDEFINED,exp_images/images/child_play_tabla.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_9,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,9,Trial: 9,2393394,o_tabla_child_play_tabla,3533,8,1176.0,186.0,2.0,177100.0,543.0,893.0,495.0,1001.0,4698.0,11,2,UNDEFINED,UNDEFINED,IMG_11,UNDEFINED,exp_images/images/child_play_tabla.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_9,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,10,Trial: 10,2403068,o_shrub_man_cut_shrub,1900,7,1412.0,394.0,2.0,291819.0,502.0,909.0,228.0,945.0,4575.0,15,2,UNDEFINED,UNDEFINED,IMG_04,UNDEFINED,exp_images/images/man_cut_shrub.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_10,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,10,Trial: 10,2403068,s_man_man_cut_shrub,2675,8,1132.0,248.0,1.0,358092.0,923.0,1364.0,150.0,962.0,4575.0,15,2,UNDEFINED,UNDEFINED,IMG_04,UNDEFINED,exp_images/images/man_cut_shrub.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_10,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,11,Trial: 11,2413006,o_tree_girl_plant_tree,2750,9,1390.0,186.0,2.0,137246.0,,,,,4475.0,15,2,UNDEFINED,UNDEFINED,IMG_03,UNDEFINED,exp_images/images/girl_plant_tree.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_11,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,11,Trial: 11,2413006,s_girl_girl_plant_tree,1067,4,1102.0,252.0,1.0,127012.5,,,,,4475.0,15,2,UNDEFINED,UNDEFINED,IMG_03,UNDEFINED,exp_images/images/girl_plant_tree.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_11,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,12,Trial: 12,2422902,s_dog_dog_dug_hole,1788,6,1052.0,182.0,1.0,103522.0,454.0,996.0,468.0,659.0,4657.0,12,2,UNDEFINED,UNDEFINED,IMG_13,UNDEFINED,exp_images/images/dog_dug_hole.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_12,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,12,Trial: 12,2422902,o_hole_dog_dug_hole,1448,5,1452.0,412.0,3.0,98746.0,884.0,1393.0,695.0,889.0,4657.0,12,2,UNDEFINED,UNDEFINED,IMG_13,UNDEFINED,exp_images/images/dog_dug_hole.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_12,UNDEFINED
