participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_fixation_duration,mean_fixation_duration,fixation_count,mean_fixation_x,mean_fixation_y
edf02,4,,free_viewing,,6088,4292,330.15384615384613,13,956.446153846154,492.65384615384625
edf02,5,,free_viewing,,5992,3972,441.3333333333333,9,868.7111111111112,501.0444444444444
edf02,6,,free_viewing,,6127,4247,303.35714285714283,14,990.1999999999999,505.75714285714287
edf02,7,,free_viewing,,5698,4002,210.6315789473684,19,979.6315789473684,544.1421052631578
edf02,8,,free_viewing,,5699,4283,356.9166666666667,12,863.8833333333333,470.29166666666674
edf02,9,,free_viewing,,5892,4072,214.31578947368422,19,926.1368421052631,560.3526315789474
edf03,1,,free_viewing,,6038,4418,401.6363636363636,11,1004.3090909090909,382.94545454545454
edf03,10,,free_viewing,,5832,3674,244.93333333333334,15,890.0200000000001,540.5066666666667
edf03,11,,free_viewing,,5661,4101,241.23529411764707,17,798.7117647058824,583.635294117647
edf03,12,,free_viewing,,5905,4347,334.38461538461536,13,882.4769230769232,356.6076923076923
edf03,13,,free_viewing,,5709,4343,334.0769230769231,13,947.9846153846154,683.7461538461539
edf03,14,,free_viewing,,6016,4170,260.625,16,811.4812500000002,482.83125000000007
edf03,15,,free_viewing,,5803,4375,364.5833333333333,12,796.7083333333334,496.52500000000003
edf03,16,,free_viewing,,5787,4232,282.1333333333333,15,879.9333333333335,520.2799999999999
edf03,17,,free_viewing,,6080,4154,276.93333333333334,15,916.0133333333332,424.53999999999996
edf03,18,,free_viewing,,5841,4106,315.84615384615387,13,915.8846153846154,372.37692307692305
edf03,19,Punjabi,sentence_audio,passive_dropped_agent,10357,4357,335.15384615384613,13,926.0769230769231,385.34615384615375
edf03,2,,free_viewing,,5813,4299,358.25,12,879.7333333333331,546.8166666666667
edf03,20,Punjabi,sentence_audio,passive_dropped_agent,10682,3810,293.0769230769231,13,868.3923076923076,383.6923076923077
edf03,21,Punjabi,sentence_audio,passive_dropped_agent,10456,4006,267.06666666666666,15,858.7866666666666,499.5200000000001
edf03,22,English,sentence_audio,active,11005,4075,407.5,10,856.32,466.81000000000006
