participant_id,trial_id,TRIAL_INDEX,aoi_type,sentence,voice_id,image_id,stim_id,total_fixation_duration,mean_fixation_duration,median_fixation_duration,n_fixations,first_fixation_time,last_fixation_time,time_to_first_fixation
P45,P45_24,24,subject,exp_images/sentences/active_artist_picture.jpg,ACT,IMG_07,STIM_61,831,166.2,178.0,5,7254,10913,1333
P45,P45_25,25,object,exp_images/sentences/passive_girl_sapling.jpg,PWA,IMG_03,STIM_75,1944,277.7142857142857,212.0,7,6136,8262,268
P45,P45_25,25,other,exp_images/sentences/passive_girl_sapling.jpg,PWA,IMG_03,STIM_75,752,150.4,180.0,5,5868,9842,0
P45,P45_25,25,subject,exp_images/sentences/passive_girl_sapling.jpg,PWA,IMG_03,STIM_75,1700,566.6666666666666,578.0,3,8532,10852,2664
P45,P45_26,26,object,exp_images/sentences/passive_child_frisbee.jpg,PWA,IMG_12,STIM_84,1442,360.5,277.0,4,5696,7316,405
P45,P45_26,26,other,exp_images/sentences/passive_child_frisbee.jpg,PWA,IMG_12,STIM_84,547,273.5,273.5,2,5291,8600,0
P45,P45_26,26,subject,exp_images/sentences/passive_child_frisbee.jpg,PWA,IMG_12,STIM_84,2266,226.6,184.0,10,5532,10250,241
P45,P45_27,27,object,exp_images/sentences/passive_boy_vase.jpg,PWA,IMG_08,STIM_80,4323,432.3,273.5,10,6061,10786,0
P45,P45_27,27,subject,exp_images/sentences/passive_boy_vase.jpg,PWA,IMG_08,STIM_80,362,181.0,181.0,2,9534,11052,3473
P45,P45_28,28,object,exp_images/sentences/noagent_man_box.jpg,PNA,IMG_05,STIM_95,2209,315.57142857142856,218.0,7,5984,10723,254
P45,P45_28,28,other,exp_images/sentences/noagent_man_box.jpg,PNA,IMG_05,STIM_95,366,366.0,366.0,1,10194,10558,4464
P45,P45_28,28,subject,exp_images/sentences/noagent_man_box.jpg,PNA,IMG_05,STIM_95,1756,219.5,238.0,8,5730,8426,0
P45,P45_29,29,object,exp_images/sentences/noagent_man_shrub.jpg,PNA,IMG_04,STIM_94,2926,292.6,268.0,10,6050,10778,259
P45,P45_29,29,other,exp_images/sentences/noagent_man_shrub.jpg,PNA,IMG_04,STIM_94,608,608.0,608.0,1,8846,9452,3055
P45,P45_29,29,subject,exp_images/sentences/noagent_man_shrub.jpg,PNA,IMG_04,STIM_94,837,279.0,272.0,3,5791,9838,0
P45,P45_3,3,object,UNDEFINEDnull,UNDEFINEDnull,IMG_04,UNDEFINEDnull,2411,482.2,242.0,5,1102,5819,275
P45,P45_3,3,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_04,UNDEFINEDnull,2145,238.33333333333334,144.0,9,827,5678,0
P45,P45_30,30,object,exp_images/sentences/noagent_girl_window.jpg,PNA,IMG_02,STIM_92,3052,305.2,236.0,10,5422,10010,235
P45,P45_30,30,other,exp_images/sentences/noagent_girl_window.jpg,PNA,IMG_02,STIM_92,193,193.0,193.0,1,5187,5378,0
