participant_id,trial_id,TRIAL_INDEX,sentence,voice_id,image_id,stim_id,mean_saccade_amplitude,mean_saccade_duration,mean_saccade_velocity,mean_peak_velocity,n_saccades
edf12,edf12_12,12,UNDEFINED,UNDEFINED,IMG_08,UNDEFINED,1.6059999999999999,42.4,81.73400000000001,139.22,10
edf12,edf12_13,13,UNDEFINED,UNDEFINED,IMG_14,UNDEFINED,3.483333333333333,33.666666666666664,92.89916666666666,146.95833333333334,12
edf12,edf12_14,14,UNDEFINED,UNDEFINED,IMG_11,UNDEFINED,2.9138461538461535,29.846153846153847,85.25461538461538,132.33461538461538,13
edf12,edf12_15,15,UNDEFINED,UNDEFINED,IMG_18,UNDEFINED,3.5176923076923075,44.46153846153846,122.3323076923077,363.7430769230769,13
edf12,edf12_16,16,UNDEFINED,UNDEFINED,IMG_17,UNDEFINED,2.964,32.8,79.49266666666668,119.328,15
edf12,edf12_17,17,UNDEFINED,UNDEFINED,IMG_06,UNDEFINED,2.1830000000000003,27.8,69.045,106.31099999999999,10
edf12,edf12_18,18,UNDEFINED,UNDEFINED,IMG_03,UNDEFINED,3.8593333333333333,42.0,99.29466666666667,176.62066666666666,15
edf12,edf12_19,19,exp_images/sentences/noagent_women_letter.jpg,PNA,IMG_17,STIM_107,1.466,23.6,56.782000000000004,87.876,5
edf12,edf12_2,2,UNDEFINED,UNDEFINED,IMG_09,UNDEFINED,2.185,51.0,120.19714285714285,381.1392857142857,14
edf12,edf12_20,20,exp_images/sentences/noagent_boy_bucket.jpg,PNA,IMG_09,STIM_99,4.84875,71.0,159.4275,745.77625,8
edf12,edf12_21,21,exp_images/sentences/noagent_woman_clothes.jpg,PNA,IMG_06,STIM_96,1.831,38.6,89.489,304.067,10
edf12,edf12_22,22,exp_images/sentences/Closed-door.jpg,ACT,IMG_10,STIM_10,1.32375,47.25,97.46125,369.50625,8
edf12,edf12_23,23,exp_images/sentences/Lamp.jpg,ACT,IMG_01,STIM_01,2.157777777777778,27.11111111111111,74.04333333333334,119.30000000000001,9
edf12,edf12_24,24,exp_images/sentences/Washed-scooter.jpg,ACT,IMG_14,STIM_14,3.692857142857143,44.857142857142854,112.51285714285713,321.03357142857146,14
edf12,edf12_25,25,exp_images/sentences/Pushed-box-passive.jpg,PWA,IMG_05,STIM_23,2.88,31.8,83.701,129.82999999999998,10
edf12,edf12_26,26,exp_images/sentences/Sapling-passive.jpg,PWA,IMG_03,STIM_21,3.4,58.0,117.57333333333332,304.8446666666667,15
edf12,edf12_27,27,exp_images/sentences/Shrub-passive.jpg,PWA,IMG_04,STIM_22,2.8200000000000003,44.46153846153846,94.18692307692308,250.13846153846154,13
edf12,edf12_28,28,exp_images/sentences/Dog-dug-woa.jpg,PNA,IMG_13,STIM_49,3.1385714285714283,32.714285714285715,88.38214285714285,147.60642857142858,14
edf12,edf12_29,29,exp_images/sentences/Frisbee-woa.jpg,PNA,IMG_12,STIM_48,2.423076923076923,41.07692307692308,102.18692307692308,313.79,13
edf12,edf12_3,3,UNDEFINED,UNDEFINED,IMG_02,UNDEFINED,3.17,31.11111111111111,87.81111111111112,141.79888888888888,9
edf12,edf12_30,30,exp_images/sentences/Tabla-woa.jpg,PNA,IMG_11,STIM_47,2.589375,28.625,72.269375,111.698125,16
edf12,edf12_31,31,exp_images/sentences/active_artist_picture.jpg,ACT,IMG_07,STIM_61,2.7053846153846157,43.69230769230769,98.58153846153846,334.03692307692313,13
edf12,edf12_32,32,exp_images/sentences/active_girl_cake.jpg,ACT,IMG_15,STIM_69,2.1607692307692306,60.76923076923077,108.12461538461538,347.776923076923,13
edf12,edf12_33,33,exp_images/sentences/active_girl_window.jpg,ACT,IMG_02,STIM_56,2.63,44.8,115.2,346.05999999999995,10
edf12,edf12_34,34,exp_images/sentences/passive_girl_dog.jpg,PWA,IMG_16,STIM_88,3.4130769230769227,52.30769230769231,100.51538461538462,327.65538461538466,13
edf12,edf12_35,35,exp_images/sentences/passive_boy_vegetables.jpg,PWA,IMG_18,STIM_90,3.7437500000000004,59.5,132.17625,512.28125,8
edf12,edf12_36,36,exp_images/sentences/passive_boy_vase.jpg,PWA,IMG_08,STIM_80,8.998333333333333,72.0,145.49666666666667,399.4083333333333,12
edf12,edf12_4,4,UNDEFINED,UNDEFINED,IMG_16,UNDEFINED,2.654285714285714,29.428571428571427,75.95142857142856,123.48285714285714,7
edf12,edf12_5,5,UNDEFINED,UNDEFINED,IMG_05,UNDEFINED,2.01,39.69230769230769,89.98923076923076,154.99384615384616,13
edf12,edf12_6,6,UNDEFINED,UNDEFINED,IMG_12,UNDEFINED,3.088235294117647,30.58823529411765,87.59294117647059,137.5094117647059,17
edf12,edf12_7,7,UNDEFINED,UNDEFINED,IMG_10,UNDEFINED,1.20375,39.0,101.42125,416.39,8
edf12,edf12_8,8,UNDEFINED,UNDEFINED,IMG_13,UNDEFINED,2.9258333333333333,31.0,89.22500000000001,135.83416666666668,12
edf12,edf12_9,9,UNDEFINED,UNDEFINED,IMG_07,UNDEFINED,2.6223076923076927,40.92307692307692,121.46615384615384,341.4353846153846,13
edf13,edf13_1,1,UNDEFINED,UNDEFINED,IMG_02,UNDEFINED,3.0576190476190472,32.285714285714285,82.49380952380953,141.71619047619046,21
edf13,edf13_10,10,UNDEFINED,UNDEFINED,IMG_17,UNDEFINED,4.4575,62.125,146.51625,415.41249999999997,16
edf13,edf13_11,11,UNDEFINED,UNDEFINED,IMG_07,UNDEFINED,4.36,38.285714285714285,99.86857142857143,181.34214285714285,14
edf13,edf13_12,12,UNDEFINED,UNDEFINED,IMG_12,UNDEFINED,4.293529411764705,38.11764705882353,98.38470588235293,170.3905882352941,17
edf13,edf13_13,13,UNDEFINED,UNDEFINED,IMG_09,UNDEFINED,3.35,33.333333333333336,98.99333333333334,178.57333333333335,3
edf13,edf13_14,14,UNDEFINED,UNDEFINED,IMG_04,UNDEFINED,3.8099999999999996,56.94117647058823,156.2329411764706,474.51235294117646,17
edf13,edf13_15,15,UNDEFINED,UNDEFINED,IMG_10,UNDEFINED,2.8405882352941174,36.0,127.10055555555556,237.60666666666668,18
edf13,edf13_16,16,UNDEFINED,UNDEFINED,IMG_18,UNDEFINED,2.6122222222222224,28.555555555555557,74.35222222222222,123.14444444444445,18
edf13,edf13_17,17,UNDEFINED,UNDEFINED,IMG_06,UNDEFINED,2.896,74.13333333333334,193.74266666666665,634.03,15
edf13,edf13_18,18,UNDEFINED,UNDEFINED,IMG_16,UNDEFINED,4.377222222222223,51.22222222222222,118.8872222222222,308.4772222222222,18
edf13,edf13_19,19,exp_images/sentences/Tabla.jpg,ACT,IMG_11,STIM_11,3.7424999999999997,61.25,139.794375,530.8718749999999,16
edf13,edf13_2,2,UNDEFINED,UNDEFINED,IMG_14,UNDEFINED,3.842857142857143,33.333333333333336,98.37238095238096,173.58190476190478,21
edf13,edf13_20,20,exp_images/sentences/Closed-door.jpg,ACT,IMG_10,STIM_10,3.183333333333333,59.06666666666667,185.20333333333335,606.4453333333333,15
edf13,edf13_21,21,exp_images/sentences/Bucket.jpg,ACT,IMG_09,STIM_09,2.532222222222222,54.0,135.82555555555555,503.1922222222222,9
edf13,edf13_22,22,exp_images/sentences/Fed-dog-passive.jpg,PWA,IMG_16,STIM_34,4.28375,61.875,156.900625,569.215625,16
edf13,edf13_23,23,exp_images/sentences/Washed-scooter-passive.jpg,PWA,IMG_14,STIM_32,7.862,63.333333333333336,158.31,426.4746666666667,15
edf13,edf13_24,24,exp_images/sentences/Painting-passive.jpg,PWA,IMG_07,STIM_25,4.5128571428571425,76.28571428571429,162.98285714285717,571.6985714285714,14
edf13,edf13_25,25,exp_images/sentences/Sapling-woa.jpg,PNA,IMG_03,STIM_39,3.453333333333333,34.666666666666664,95.59250000000002,158.84083333333334,12
edf13,edf13_26,26,exp_images/sentences/Frisbee-woa.jpg,PNA,IMG_12,STIM_48,3.7721428571428572,55.0,120.41,304.5164285714286,14
edf13,edf13_27,27,exp_images/sentences/Vase-woa.jpg,PNA,IMG_08,STIM_44,2.28,64.4,142.792,540.5266666666666,15
edf13,edf13_28,28,exp_images/sentences/active_man_box.jpg,ACT,IMG_05,STIM_59,4.160666666666667,77.46666666666667,174.9226666666667,506.97333333333336,15
edf13,edf13_29,29,exp_images/sentences/active_man_shrub.jpg,ACT,IMG_04,STIM_58,2.825,31.0,87.82249999999999,136.25,4
edf13,edf13_3,3,UNDEFINED,UNDEFINED,IMG_15,UNDEFINED,2.5977777777777775,40.0,110.61555555555555,289.895,18
edf13,edf13_30,30,exp_images/sentences/active_girl_window.jpg,ACT,IMG_02,STIM_56,2.47625,52.875,97.10249999999999,320.741875,16
edf13,edf13_31,31,exp_images/sentences/passive_dog_hole.jpg,PWA,IMG_13,STIM_85,3.0285714285714285,32.0,89.79428571428572,141.84857142857143,7
edf13,edf13_32,32,exp_images/sentences/passive_boy_vegetables.jpg,PWA,IMG_18,STIM_90,2.4,50.5,84.101875,144.774375,16
edf13,edf13_35,35,exp_images/sentences/noagent_women_letter.jpg,PNA,IMG_17,STIM_107,2.396923076923077,80.76923076923077,202.24461538461537,579.9169230769231,13
edf13,edf13_36,36,exp_images/sentences/noagent_girl_lamp.jpg,PNA,IMG_01,STIM_91,2.6766666666666667,51.666666666666664,141.215,382.53055555555557,18
edf13,edf13_4,4,UNDEFINED,UNDEFINED,IMG_11,UNDEFINED,2.7277272727272726,31.545454545454547,78.01772727272727,132.86272727272728,22
edf13,edf13_5,5,UNDEFINED,UNDEFINED,IMG_08,UNDEFINED,2.0166666666666666,27.142857142857142,67.5352380952381,110.72761904761906,21
edf13,edf13_6,6,UNDEFINED,UNDEFINED,IMG_01,UNDEFINED,3.495789473684211,34.73684210526316,91.09736842105264,162.84368421052633,19
edf13,edf13_7,7,UNDEFINED,UNDEFINED,IMG_13,UNDEFINED,3.072857142857143,31.428571428571427,89.24428571428572,148.72714285714287,21
edf13,edf13_8,8,UNDEFINED,UNDEFINED,IMG_03,UNDEFINED,3.1985,31.9,86.012,150.081,20
edf13,edf13_9,9,UNDEFINED,UNDEFINED,IMG_05,UNDEFINED,3.565555555555555,45.22222222222222,116.2838888888889,269.15666666666664,18
edf14,edf14_1,1,UNDEFINED,UNDEFINED,IMG_08,UNDEFINED,1.6199999999999999,24.857142857142858,61.25142857142857,86.48357142857142,14
edf14,edf14_10,10,UNDEFINED,UNDEFINED,IMG_16,UNDEFINED,3.2159999999999997,43.2,107.47866666666667,274.51666666666665,15
edf14,edf14_11,11,UNDEFINED,UNDEFINED,IMG_06,UNDEFINED,2.2614285714285716,54.0,108.76142857142858,350.7707142857143,14
edf14,edf14_12,12,UNDEFINED,UNDEFINED,IMG_01,UNDEFINED,3.2216666666666667,33.111111111111114,89.55777777777777,144.42888888888888,18
edf14,edf14_13,13,UNDEFINED,UNDEFINED,IMG_18,UNDEFINED,2.51375,43.125,92.0175,223.535,16
edf14,edf14_14,14,UNDEFINED,UNDEFINED,IMG_13,UNDEFINED,3.3272222222222223,40.77777777777778,107.24388888888889,257.2011111111111,18
edf14,edf14_15,15,UNDEFINED,UNDEFINED,IMG_14,UNDEFINED,4.19,57.875,129.27125,401.971875,16
edf14,edf14_16,16,UNDEFINED,UNDEFINED,IMG_05,UNDEFINED,3.2653333333333334,47.06666666666667,111.714,242.09,15
edf14,edf14_17,17,UNDEFINED,UNDEFINED,IMG_02,UNDEFINED,4.144705882352941,43.88235294117647,109.97058823529412,210.05764705882353,17
edf14,edf14_18,18,UNDEFINED,UNDEFINED,IMG_10,UNDEFINED,2.4121428571428574,40.714285714285715,97.36142857142856,262.35785714285714,14
edf14,edf14_19,19,exp_images/sentences/Tabla-passive.jpg,PWA,IMG_11,STIM_29,2.4284615384615384,42.30769230769231,96.39692307692309,247.52076923076922,13
edf14,edf14_2,2,UNDEFINED,UNDEFINED,IMG_03,UNDEFINED,2.9385714285714286,30.714285714285715,87.44928571428571,134.74214285714285,14
