participant_id,trial_id,language,session_type,sentence_type,ia_label,trial_length_ms,dwell_time,entry_count,time_to_first_fixation,mean_time_to_first_fixation,dwell_time_normalized_by_trial_length
edf01,32,English,sentence_audio,passive,s_girl_girl_baked_cake,4784.0,0,0,,,0.0
edf01,33,English,sentence_audio,passive,o_window_girl_opened_window,4653.0,2808,3,5674.0,5674.0,0.6034816247582205
edf01,33,English,sentence_audio,passive,s_girl_girl_opened_window,4653.0,1614,2,6298.0,6298.0,0.3468729851708575
edf01,34,English,sentence_audio,passive_dropped_agent,o_dog_girl_fed_dog,4800.0,2306,2,5944.0,5944.0,0.48041666666666666
edf01,34,English,sentence_audio,passive_dropped_agent,s_girl_girl_fed_dog,4800.0,1194,1,9706.0,9706.0,0.24875
edf01,35,English,sentence_audio,passive_dropped_agent,o_veg_boy_cut_vegetables,4514.0,2470,2,6074.0,6074.0,0.5471865307930882
edf01,35,English,sentence_audio,passive_dropped_agent,s_boy_boy_cut_vegetables,4514.0,1210,2,6778.0,6778.0,0.2680549401860877
edf01,36,English,sentence_audio,passive_dropped_agent,o_vase_boy_broke_vase,3836.0,3836,1,5834.0,5834.0,1.0
edf01,36,English,sentence_audio,passive_dropped_agent,s_boy_boy_broke_vase,3836.0,0,0,,,0.0
edf01,4,,free_viewing,,o_frisbee_child_throw_frisbee,4585.0,1344,1,928.0,928.0,0.2931297709923664
edf01,4,,free_viewing,,s_child_child_throw_frisbee,4585.0,2540,2,2346.0,2346.0,0.5539803707742639
edf01,5,,free_viewing,,o_scooter_driver_wash_scooter,4540.0,3324,2,845.0,845.0,0.73215859030837
edf01,5,,free_viewing,,s_driver_driver_wash_scooter,4540.0,1216,1,1974.0,1974.0,0.26784140969162995
edf01,6,,free_viewing,,o_cake_girl_baked_cake,4725.0,1121,1,807.0,807.0,0.23724867724867724
edf01,6,,free_viewing,,s_girl_girl_baked_cake,4725.0,2532,1,3132.0,3132.0,0.5358730158730158
edf01,7,,free_viewing,,o_clothes_woman_folded_clothes,4495.0,2705,2,823.0,823.0,0.6017797552836485
edf01,7,,free_viewing,,s_woman_woman_folded_clothes,4495.0,1790,1,2512.0,2512.0,0.3982202447163515
edf01,8,,free_viewing,,o_window_girl_opened_window,4574.0,2314,2,1252.0,1252.0,0.5059029296020988
edf01,8,,free_viewing,,s_girl_girl_opened_window,4574.0,1990,2,2482.0,2482.0,0.43506777437691296
edf01,9,,free_viewing,,o_tabla_child_play_tabla,4698.0,3533,2,1176.0,1176.0,0.7520221370796083
edf01,9,,free_viewing,,s_child_child_play_tabla,4698.0,912,1,2684.0,2684.0,0.194125159642401
edf02,1,,free_viewing,,o_veg_boy_cut_vegetables,4511.0,2290,4,1028.0,1028.0,0.5076479716249168
edf02,1,,free_viewing,,s_boy_boy_cut_vegetables,4511.0,1307,2,699.0,699.0,0.2897362003990246
edf02,10,,free_viewing,,o_box_man_pushed_box,4492.0,1966,2,1940.0,1940.0,0.43766696349065004
edf02,10,,free_viewing,,s_man_man_pushed_box,4492.0,2526,2,970.0,970.0,0.56233303650935
edf02,11,,free_viewing,,o_letter_woman_read_letter,4198.0,992,1,2684.0,2684.0,0.23630300142925204
edf02,11,,free_viewing,,s_woman_woman_read_letter,4198.0,3058,2,1053.0,1053.0,0.7284421152929966
edf02,12,,free_viewing,,o_scooter_driver_wash_scooter,4204.0,2902,2,1248.0,1248.0,0.6902949571836346
edf02,12,,free_viewing,,s_driver_driver_wash_scooter,4204.0,840,3,1076.0,1076.0,0.19980970504281637
edf02,13,,free_viewing,,o_vase_boy_broke_vase,4565.0,3437,2,1099.0,1099.0,0.7529025191675794
edf02,13,,free_viewing,,s_boy_boy_broke_vase,4565.0,1128,1,2256.0,2256.0,0.24709748083242059
edf02,14,,free_viewing,,o_lamp_girl_light_lamp,4399.0,1566,1,1360.0,1360.0,0.3559899977267561
edf02,14,,free_viewing,,s_girl_girl_lit_lamp,4399.0,2833,2,1095.0,1095.0,0.6440100022732439
edf02,15,,free_viewing,,o_hole_dog_dug_hole,4204.0,1446,3,1218.0,1218.0,0.3439581351094196
edf02,15,,free_viewing,,s_dog_dog_dug_hole,4204.0,1098,3,812.0,812.0,0.26117982873453854
edf02,16,,free_viewing,,o_picture_artiste_drew_picture,4247.0,1891,4,1028.0,1028.0,0.44525547445255476
edf02,16,,free_viewing,,s_artiste_artiste_drew_picture,4247.0,2164,4,1212.0,1212.0,0.5095361431598776
edf02,17,,free_viewing,,o_tree_girl_plant_tree,4282.0,1516,1,1298.0,1298.0,0.3540401681457263
edf02,17,,free_viewing,,s_girl_girl_plant_tree,4282.0,1964,4,1050.0,1050.0,0.4586641756188697
edf02,18,,free_viewing,,o_dog_girl_fed_dog,4403.0,2543,2,1172.0,1172.0,0.5775607540313422
edf02,18,,free_viewing,,s_girl_girl_fed_dog,4403.0,1602,1,3434.0,3434.0,0.36384283443106974
edf02,19,Punjabi,sentence_audio,passive,o_letter_woman_read_letter,4406.0,588,1,6842.0,6842.0,0.13345438039037677
edf02,19,Punjabi,sentence_audio,passive,s_woman_woman_read_letter,4406.0,3818,2,6194.0,6194.0,0.8665456196096233
edf02,2,,free_viewing,,o_clothes_woman_folded_clothes,4405.0,2090,1,1332.0,1332.0,0.47446083995459704
edf02,2,,free_viewing,,s_woman_woman_folded_clothes,4405.0,2030,2,1110.0,1110.0,0.4608399545970488
edf02,20,Punjabi,sentence_audio,passive,o_bucket_boy_filled_bucket,4326.0,3360,3,5502.0,5502.0,0.7766990291262136
edf02,20,Punjabi,sentence_audio,passive,s_boy_boy_filled_bucket,4326.0,966,2,7068.0,7068.0,0.22330097087378642
edf02,21,Punjabi,sentence_audio,passive,o_clothes_woman_folded_clothes,4375.0,1867,2,5938.0,5938.0,0.42674285714285715
edf02,21,Punjabi,sentence_audio,passive,s_woman_woman_folded_clothes,4375.0,2174,2,5566.0,5566.0,0.4969142857142857
edf02,22,Punjabi,sentence_audio,passive_dropped_agent,o_door_boy_opened_door,4538.0,1047,2,5411.0,5411.0,0.23071837814014984
edf02,22,Punjabi,sentence_audio,passive_dropped_agent,s_boy_boy_opened_door,4538.0,3351,2,6012.0,6012.0,0.7384310268840899
