participant_id,trial_id,TRIAL_INDEX,sentence,voice_id,image_id,stim_id,total_trial_duration,mean_fixation_duration,total_trial_fixations,trial_start_time,trial_end_time,trial_duration
edf37,edf37_27,27,exp_images/sentences/Vase-woa.jpg,PNA,IMG_08,STIM_44,9020,334.0740740740741,27,5292,10633,5341
edf37,edf37_28,28,exp_images/sentences/active_man_box.jpg,ACT,IMG_05,STIM_59,8474,338.96,25,5455,10533,5078
edf37,edf37_29,29,exp_images/sentences/active_man_shrub.jpg,ACT,IMG_04,STIM_58,8792,314.0,28,5250,10564,5314
edf37,edf37_3,3,UNDEFINEDnull,UNDEFINEDnull,IMG_10,UNDEFINEDnull,4769,596.125,8,1085,6064,4979
edf37,edf37_3,3,UNDEFINEDnull,UNDEFINEDnull,IMG_14,UNDEFINEDnull,4052,225.11111111111111,18,781,5773,4992
edf37,edf37_30,30,exp_images/sentences/active_girl_window.jpg,ACT,IMG_02,STIM_56,9219,419.04545454545456,22,5423,10920,5497
edf37,edf37_31,31,exp_images/sentences/passive_dog_hole.jpg,PWA,IMG_13,STIM_85,8694,280.4516129032258,31,5194,10465,5271
edf37,edf37_32,32,exp_images/sentences/passive_boy_vegetables.jpg,PWA,IMG_18,STIM_90,9158,436.0952380952381,21,5537,10739,5202
edf37,edf37_33,33,exp_images/sentences/passive_girl_cake.jpg,PWA,IMG_15,STIM_87,9591,564.1764705882352,17,5628,10904,5276
edf37,edf37_34,34,exp_images/sentences/noagent_woman_clothes.jpg,PNA,IMG_06,STIM_96,9564,531.3333333333334,18,5652,10748,5096
edf37,edf37_35,35,exp_images/sentences/noagent_women_letter.jpg,PNA,IMG_17,STIM_107,7834,326.4166666666667,24,5338,10933,5595
edf37,edf37_36,36,exp_images/sentences/noagent_girl_lamp.jpg,PNA,IMG_01,STIM_91,8536,251.05882352941177,34,5658,10694,5036
edf37,edf37_4,4,UNDEFINEDnull,UNDEFINEDnull,IMG_15,UNDEFINEDnull,4278,329.0769230769231,13,790,5782,4992
edf37,edf37_4,4,UNDEFINEDnull,UNDEFINEDnull,IMG_17,UNDEFINEDnull,4570,380.8333333333333,12,819,5811,4992
edf37,edf37_5,5,UNDEFINEDnull,UNDEFINEDnull,IMG_12,UNDEFINEDnull,8666,333.3076923076923,26,738,5941,5203
edf37,edf37_6,6,UNDEFINEDnull,UNDEFINEDnull,IMG_15,UNDEFINEDnull,4631,578.875,8,939,5932,4993
edf37,edf37_6,6,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,4384,313.14285714285717,14,744,5736,4992
edf37,edf37_7,7,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,4158,218.8421052631579,19,945,5937,4992
edf37,edf37_7,7,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,4436,316.85714285714283,14,735,5727,4992
edf37,edf37_8,8,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,4474,263.1764705882353,17,749,5741,4992
edf37,edf37_8,8,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,4634,421.27272727272725,11,1039,6031,4992
edf37,edf37_9,9,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,4453,278.3125,16,867,5860,4993
edf37,edf37_9,9,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,4576,326.85714285714283,14,768,5760,4992
edf38,edf38_1,1,UNDEFINEDnull,UNDEFINEDnull,IMG_10,UNDEFINEDnull,4673,359.46153846153845,13,820,5807,4987
