participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_interest_area_dwell_time,total_interest_area_entry_count,min_time_to_first_fixation,interest_area_dwell_time_normalized
edf48,35,English,sentence_audio,passive,3382.0,3264,5,5602.0,0.9651094027202839
edf48,36,English,sentence_audio,passive,3635.0,3383,3,6146.0,0.9306740027510316
edf48,4,,free_viewing,,4017.0,4017,5,726.0,1.0
edf48,5,,free_viewing,,3915.0,3012,6,1386.0,0.7693486590038314
edf48,6,,free_viewing,,3854.0,2107,6,1344.0,0.5467047223663726
edf48,7,,free_viewing,,3969.0,3357,4,908.0,0.8458049886621315
edf48,8,,free_viewing,,3878.0,3762,4,1026.0,0.9700876740587931
edf48,9,,free_viewing,,3850.0,3850,3,1142.0,1.0
edf49,1,,free_viewing,,3762.0,3762,10,891.0,1.0
edf49,10,,free_viewing,,4553.0,4312,5,1174.0,0.9470678673402152
edf49,11,,free_viewing,,4504.0,4160,4,1114.0,0.9236234458259325
edf49,12,,free_viewing,,4550.0,4550,7,1132.0,1.0
edf49,13,,free_viewing,,4535.0,3859,6,972.0,0.8509371554575523
edf49,14,,free_viewing,,4236.0,2726,6,1000.0,0.6435316336166195
edf49,15,,free_viewing,,4455.0,3933,8,1402.0,0.8828282828282829
edf49,16,,free_viewing,,4309.0,3721,4,1356.0,0.8635414249245764
edf49,17,,free_viewing,,4199.0,4199,9,787.0,1.0
edf49,18,,free_viewing,,4104.0,3754,4,940.0,0.9147173489278753
edf49,19,Punjabi,sentence_audio,active,4464.0,4464,5,5623.0,1.0
edf49,2,,free_viewing,,4472.0,4228,11,976.0,0.945438282647585
edf49,20,Punjabi,sentence_audio,active,4289.0,3713,7,5933.0,0.8657029610631849
edf49,21,Punjabi,sentence_audio,active,4191.0,3453,10,5410.0,0.8239083750894775
edf49,22,Punjabi,sentence_audio,passive,3999.0,3727,8,5426.0,0.9319829957489373
edf49,23,Punjabi,sentence_audio,passive,4138.0,3996,10,5290.0,0.9656839052682455
edf49,24,Punjabi,sentence_audio,passive,3818.0,3818,8,6082.0,1.0
edf49,25,Punjabi,sentence_audio,passive_dropped_agent,4276.0,2740,6,6588.0,0.6407857811038353
edf49,26,Punjabi,sentence_audio,passive_dropped_agent,4324.0,3764,6,6092.0,0.8704902867715079
