participant_id,trial_id,language,session_type,sentence_type,fixation_trial_length_ms,fixation_total_fixation_duration,fixation_mean_fixation_duration,fixation_fixation_count,fixation_mean_fixation_x,fixation_mean_fixation_y,interest_area_trial_length_ms,interest_area_total_interest_area_dwell_time,interest_area_total_interest_area_entry_count,interest_area_min_time_to_first_fixation,interest_area_interest_area_dwell_time_normalized,saccade_trial_length_ms,saccade_mean_saccade_amplitude,saccade_saccade_count,saccade_mean_saccade_velocity,saccade_mean_saccade_duration,saccade_saccade_rate,audio,exp_id,image,image_id,sentence,stim_id,stimulus_file,voice_id,grammatical_voice,agent_first_alignment,agent_overt,passive_cost_contrast,dropped_agent_contrast
edf01,21,Punjabi,sentence_audio,active,10744.0,4438.0,634.0,7.0,943.4571428571428,706.6714285714287,4616.0,4438,1,6162.0,0.9614384748700172,10744.0,2.795,8.0,135.28625,47.25,0.7446016381236039,exp_images/audio\PUNJABI\clothes.wav,IMG_06_P_ACT,exp_images/images/women_fold_clothes.jpg,IMG_06,exp_images/sentences/Folded-clothes.jpg,STIM_06,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf01,22,Punjabi,sentence_audio,passive,10317.0,4155.0,461.66666666666674,9.0,940.1111111111113,423.89999999999986,4217.0,4217,5,5324.0,1.0,10317.0,1.9366666666666663,9.0,180.08444444444442,86.22222222222223,0.8723466123873219,exp_images/audio\PUNJABI\p_door.wav,IMG_10_P_PWA,exp_images/images/boy_opened_door.jpg,IMG_10,exp_images/sentences/Closed-door-passive.jpg,STIM_28,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf01,23,Punjabi,sentence_audio,passive,10772.0,4182.0,1045.5,4.0,930.45,461.07499999999993,4832.0,4832,3,5780.0,1.0,10772.0,3.925,4.0,94.4575,40.0,0.3713330857779428,exp_images/audio\PUNJABI\p_lamp.wav,IMG_01_P_PWA,exp_images/images/girl_lighted_lamp.jpg,IMG_01,exp_images/sentences/Lamp-passive.jpg,STIM_19,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf01,24,Punjabi,sentence_audio,passive,10554.0,4154.0,415.4,10.0,912.8,440.0199999999999,4452.0,4452,5,5562.0,1.0,10554.0,3.5510000000000006,10.0,131.74400000000003,54.0,0.9475080538184576,exp_images/audio\PUNJABI\p_scooter.wav,IMG_14_P_PWA,exp_images/images/driver_wash_scooter.jpg,IMG_14,exp_images/sentences/Washed-scooter-passive.jpg,STIM_32,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf01,25,Punjabi,sentence_audio,passive_dropped_agent,10864.0,4400.0,550.0,8.0,1087.85,390.17500000000007,4658.0,4658,6,5872.0,1.0,10864.0,2.6612499999999994,8.0,100.185,41.75,0.7363770250368188,exp_images/audio\PUNJABI\p_woa_box.wav,IMG_05_P_PNA,exp_images/images/man_pushed_box.jpg,IMG_05,exp_images/sentences/Pushed-box-woa.jpg,STIM_41,stimuli_list_subj_1_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf01,26,Punjabi,sentence_audio,passive_dropped_agent,10411.0,4413.0,630.4285714285714,7.0,908.4857142857144,582.3,4669.0,4305,5,5418.0,0.9220389805097452,10411.0,3.6142857142857134,7.0,110.32428571428572,46.28571428571429,0.6723657669772356,exp_images/audio\PUNJABI\p_woa_sapling.wav,IMG_03_P_PNA,exp_images/images/girl_plant_tree.jpg,IMG_03,exp_images/sentences/Sapling-woa.jpg,STIM_39,stimuli_list_subj_1_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf01,27,Punjabi,sentence_audio,passive_dropped_agent,11145.0,4247.0,353.91666666666674,12.0,848.6416666666668,403.01666666666665,4425.0,3761,6,6152.0,0.8499435028248588,11145.0,1.8858333333333333,12.0,174.32083333333333,47.33333333333334,1.0767160161507403,exp_images/audio\PUNJABI\p_woa_shrub.wav,IMG_04_P_PNA,exp_images/images/man_cut_shrub.jpg,IMG_04,exp_images/sentences/Shrub-woa.jpg,STIM_40,stimuli_list_subj_1_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf01,28,English,sentence_audio,active,11082.0,4372.0,546.5,8.0,817.6625,615.15,4566.0,3998,3,6090.0,0.8756022777047744,11082.0,2.605,8.0,116.80375,53.25,0.7218913553510197,exp_images/audio\ENGLISH\dug.wav,IMG_13_E_ACT,exp_images/images/dog_dug_hole.jpg,IMG_13,exp_images/sentences/active_dog_hole.jpg,STIM_67,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf01,29,English,sentence_audio,active,10430.0,4402.0,628.8571428571429,7.0,873.9285714285713,309.15714285714284,4691.0,4402,3,5762.0,0.9383926668087827,10430.0,2.5457142857142863,7.0,221.64000000000004,43.14285714285715,0.6711409395973155,exp_images/audio\ENGLISH\frisbee.wav,IMG_12_E_ACT,exp_images/images/child_throw_frisbee.jpg,IMG_12,exp_images/sentences/active_child_frisbee.jpg,STIM_66,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf01,3,,free_viewing,,6032.0,4388.0,487.5555555555555,9.0,1047.0666666666666,630.8222222222222,4675.0,4675,2,1039.0,1.0,6032.0,2.1,9.0,75.93666666666667,35.333333333333336,1.4920424403183024,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/women_read_letter.jpg,IMG_17,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
