participant_id,image_id,baseline_fixation_trial_length_ms,baseline_fixation_total_fixation_duration,baseline_fixation_mean_fixation_duration,baseline_fixation_fixation_count,baseline_fixation_mean_fixation_x,baseline_fixation_mean_fixation_y,baseline_interest_area_trial_length_ms,baseline_interest_area_total_interest_area_dwell_time,baseline_interest_area_total_interest_area_entry_count,baseline_interest_area_min_time_to_first_fixation,baseline_interest_area_interest_area_dwell_time_normalized,baseline_saccade_trial_length_ms,baseline_saccade_mean_saccade_amplitude,baseline_saccade_saccade_count,baseline_saccade_mean_saccade_velocity,baseline_saccade_mean_saccade_duration,baseline_saccade_saccade_rate
edf04,IMG_03,5669.0,3707.0,3707.0,1.0,967.7,467.6,4967.0,4967,1,676.0,1.0,5669.0,1.79,1.0,67.28,26.0,0.17639795378373613
edf04,IMG_04,5954.0,4492.0,561.5,8.0,837.725,497.75,4761.0,4761,4,961.0,1.0,5954.0,2.0375,8.0,65.27,29.0,1.3436345314074571
edf04,IMG_05,5669.0,4621.0,2310.5,2.0,943.5,378.5,4926.0,4926,1,677.0,1.0,5669.0,2.96,2.0,88.725,33.0,0.35279590756747226
edf04,IMG_06,5845.0,4299.0,716.5,6.0,930.7666666666668,507.93333333333334,4760.0,4760,6,853.0,1.0,5845.0,3.686666666666667,6.0,96.19666666666667,38.66666666666666,1.0265183917878529
edf04,IMG_07,5887.0,4146.0,276.4,15.0,959.5800000000003,407.3066666666666,4431.0,4131,8,895.0,0.9322951929587,5887.0,3.655625,16.0,95.223125,36.25,2.7178528962119928
edf04,IMG_08,5874.0,4488.0,561.0,8.0,914.175,470.2875,4805.0,4805,3,881.0,1.0,5874.0,1.68875,8.0,62.44375,23.5,1.3619339462036093
edf04,IMG_09,5976.0,4336.0,361.33333333333326,12.0,951.4333333333333,511.24166666666673,4633.0,4633,5,983.0,1.0,5976.0,2.6016666666666666,12.0,78.52833333333334,30.0,2.0080321285140563
edf04,IMG_10,5663.0,3975.0,1987.5,2.0,940.5,469.55,4941.0,4547,2,670.0,0.9202590568710788,5663.0,1.595,2.0,61.52,26.0,0.35316969803990816
edf04,IMG_11,5686.0,4266.0,387.8181818181818,11.0,935.8272727272723,539.9545454545455,4574.0,2664,6,1036.0,0.5824223874070835,5686.0,3.9354545454545464,11.0,104.09454545454544,38.0,1.9345761519521631
edf04,IMG_12,5785.0,4403.0,440.3,10.0,1017.74,354.11,4650.0,4197,6,1076.0,0.9025806451612904,5785.0,3.3239999999999994,10.0,91.78799999999998,34.0,1.728608470181504
edf04,IMG_13,5683.0,4347.0,310.5,14.0,1009.8857142857145,644.9714285714286,4605.0,4605,5,692.0,1.0,5683.0,2.337857142857143,14.0,72.8664285714286,27.57142857142857,2.4634875945803274
edf04,IMG_14,5643.0,4343.0,434.3,10.0,989.46,540.38,4641.0,4641,3,650.0,1.0,5643.0,3.799,10.0,92.419,35.2,1.7721070352649297
edf04,IMG_15,6009.0,4293.0,429.3,10.0,1002.5400000000003,573.2099999999998,4720.0,4720,5,1017.0,1.0,6009.0,2.0650000000000004,10.0,72.78900000000002,27.2,1.6641704110500914
