image_id,object,other,subject
IMG_01,47.3469387755102,6.802721088435375,45.85034013605443
IMG_02,46.18768328445748,11.87683284457478,41.935483870967744
IMG_03,44.94535519125683,17.62295081967213,37.43169398907104
IMG_04,62.125748502994014,5.089820359281437,32.78443113772455
IMG_05,39.794419970631424,9.985315712187958,50.22026431718062
IMG_06,53.91156462585034,7.482993197278912,38.605442176870746
IMG_07,60.0,6.315789473684211,33.68421052631579
IMG_08,61.91950464396285,7.120743034055728,30.959752321981426
IMG_09,64.74358974358975,6.570512820512821,28.685897435897434
IMG_10,47.712418300653596,4.738562091503268,47.549019607843135
IMG_11,41.02209944751381,28.45303867403315,30.52486187845304
IMG_12,20.27777777777778,30.0,49.72222222222222
IMG_13,30.71324599708879,23.28966521106259,45.99708879184862
IMG_14,65.82597730138714,7.0617906683480465,27.112232030264817
IMG_15,41.62348877374784,20.898100172711572,37.47841105354059
IMG_16,39.16913946587537,32.047477744807125,28.783382789317507
IMG_17,23.973727422003286,5.582922824302135,70.44334975369459
IMG_18,52.20125786163522,11.949685534591195,35.84905660377358
