language,sentence_type,prop_agent_first_look,n_trials,prop_object_first_look
English,active,0.37333333333333335,150,0.6266666666666667
English,passive,0.3581081081081081,148,0.6418918918918919
English,passive_dropped_agent,0.31756756756756754,148,0.6824324324324325
Punjabi,active,0.41333333333333333,150,0.5866666666666667
Punjabi,passive,0.4899328859060403,149,0.5100671140939597
Punjabi,passive_dropped_agent,0.40540540540540543,148,0.5945945945945945
